Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Expiry_Year,Expiry_Month,Expiry_Day,Name,Type,Address,City,Contact
1,Bread,43,2025-03-17,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,2025,March,17,Figueroa-Soto,Grocery Store,"113 Donna Pass
Port Michaelchester, NE 39187",South Kellyville,(599)442-0494
2,Soup,22,2025-03-24,791,Grocery Store,West James,Non-Vegetarian,Dinner,2025,March,24,Aguilar Group,Grocery Store,"292 Torres Village
Johnland, IL 09607",West James,(390)257-0518x4479
3,Fruits,46,2025-03-28,478,Catering Service,Lake Regina,Vegan,Breakfast,2025,March,28,"Lopez, Roach and Roach",Catering Service,"8319 Brandi Place Suite 155
Jamesbury, NC 87170",Lake Regina,001-785-448-3246x762
4,Fruits,15,2025-03-16,930,Restaurant,Kellytown,Vegan,Lunch,2025,March,16,Cannon-Garcia,Restaurant,"18680 Krystal Inlet Apt. 200
East Janettown, MO 64497",Kellytown,9421508200
5,Soup,14,2025-03-19,279,Restaurant,Garciaport,Vegan,Dinner,2025,March,19,"Greene, Wood and Hernandez",Restaurant,"69618 Jacob Stravenue
South Jacobton, OH 42099",Garciaport,238.551.4657
6,Vegetables,4,2025-03-24,378,Supermarket,South Johnshire,Vegan,Snacks,2025,March,24,Foster Ltd,Supermarket,"5394 Laura Cliffs
East Angela, NH 01271",South Johnshire,7045041352
7,Dairy,29,2025-03-25,268,Grocery Store,Nolanmouth,Vegan,Dinner,2025,March,25,"White, Hutchinson and Williams",Grocery Store,"6135 Michael Extension Apt. 708
Brendaborough, MN 18905",Nolanmouth,655.056.4788x798
8,Rice,49,2025-03-28,343,Catering Service,South Christopherborough,Vegetarian,Lunch,2025,March,28,"Harris, Perez and Willis",Catering Service,"549 Moody Road Suite 873
Jacobshire, VT 80966",South Christopherborough,581-281-6112
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,2025,March,25,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,2025,March,20,Baird PLC,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegan,Breakfast,2025,March,17,"Pierce, Walsh and Rogers",Grocery Store,"8840 Edwards Square Suite 343
Kimside, NE 41307",Deborahland,+1-065-024-5251x529
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch,2025,March,28,"Jackson, Lee and Hodge",Catering Service,"5326 Christian Trail
Port Hectorstad, NH 21079",North Steven,001-319-954-4598x21954
